grade,caster.id,stand.id,force,avg.width,temperature,entry.gauge,exit.gauge,roller.diameter
Grade01,S,F1,2428.568,43.6251,1849.14,0.9965693,0.6132513,799.5943
Grade01,S,F2,1844.956,43.6251,1801.831,0.6132513,0.3747956,755.4302
Grade01,S,F3,1314.671,43.6251,1753.281,0.3747956,0.2672704,640.1703
Grade01,S,F4,1093.489,43.6251,1703.495,0.2672704,0.2045031,665.8711
Grade01,S,F5,722.8049,43.6251,1653.365,0.2045031,0.1699053,596.3642
Grade01,S,F1,2192.649,43.4465,1836.479,0.9957597,0.6477238,799.5943
Grade01,S,F2,2045,43.4465,1787.283,0.6477238,0.3818984,755.4302
Grade01,S,F3,1291.683,43.4465,1742.382,0.3818984,0.2678869,640.1703
Grade01,S,F4,1132.138,43.4465,1692.308,0.2678869,0.2068828,665.8711
Grade01,S,F5,852.4625,43.4465,1643.339,0.2068828,0.1700915,596.3642
Grade01,S,F1,2161.934,43.4489,1831.945,0.9945921,0.6532595,799.5943
Grade01,S,F2,2053.417,43.4489,1782.07,0.6532595,0.3831183,755.4302
Grade01,S,F3,1304.43,43.4489,1736.445,0.3831183,0.2655674,640.1703
Grade01,S,F4,1142.227,43.4489,1686.026,0.2655674,0.205098,665.8711
Grade01,S,F5,811.09,43.4489,1636.393,0.205098,0.1700533,596.3642
Grade01,S,F1,2242.229,43.4516,1835.726,0.9986323,0.638382,799.5943
Grade01,S,F2,2132.477,43.4516,1787.147,0.638382,0.3664175,755.4302
Grade01,S,F3,1536.783,43.4516,1743.81,0.3664175,0.2413986,640.1703
Grade01,S,F4,1226.559,43.4516,1697.584,0.2413986,0.181384,665.8711
Grade01,S,F5,889.4746,43.4516,1649.333,0.181384,0.1468907,596.3642
Grade01,S,F1,2187.641,43.423,1831.048,0.9948916,0.6368991,799.5943
Grade01,S,F2,2164.268,43.423,1780.859,0.6368991,0.3608985,755.4302
Grade01,S,F3,1517.856,43.423,1736.351,0.3608985,0.2393179,640.1703
Grade01,S,F4,1189.278,43.423,1688.366,0.2393179,0.1801513,665.8711
Grade01,S,F5,842.5793,43.423,1638.016,0.1801513,0.1467998,596.3642
Grade01,S,F1,2273.281,43.0568,1827.953,0.998118,0.6145461,799.5943
Grade01,S,F2,2313.668,43.0568,1781.039,0.6145461,0.336131,755.4302
